End Date,company_name,linkedin_influenced_impressions_sends_threshold_10,linkedin_influenced_click_opens_threshold_3,account_reached,ctr_score,spm_open_rate_score,frequency_score,frequency,total_impressions,total_sends,total_clicks,total_opens,ctr,spm_open_rate,total_conversions,total_engagements,total_leads,unique_employees_reached,rank_imps
6/6/2026,VaynerMedia,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.85E+00,512,Below Reporting Threshold,5,Below Reporting Threshold,9.77E-03,Below Reporting Threshold,0,6,0,133,121
6/6/2026,Nationwide,Yes,Yes,Reached,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,3.24E+00,509,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,0,3,0,157,122
6/6/2026,Monumental Sports & Entertainment,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,4.24E+00,509,Below Reporting Threshold,9,Below Reporting Threshold,1.77E-02,Below Reporting Threshold,0,13,0,120,122
6/6/2026,Calvin Klein,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.69E+00,509,Below Reporting Threshold,10,Below Reporting Threshold,1.96E-02,Below Reporting Threshold,0,14,0,138,122
6/6/2026,T. Rowe Price,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.51E+00,505,Below Reporting Threshold,3,Below Reporting Threshold,5.94E-03,Below Reporting Threshold,0,3,0,144,125
6/6/2026,Astellas Pharma,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.22E+00,502,Below Reporting Threshold,3,Below Reporting Threshold,5.98E-03,Below Reporting Threshold,0,5,0,156,126
6/6/2026,Mars United Commerce,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.99E+00,499,Below Reporting Threshold,9,Below Reporting Threshold,1.80E-02,Below Reporting Threshold,0,13,0,125,127
6/6/2026,Delaware North,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.78E+00,492,Below Reporting Threshold,4,Below Reporting Threshold,8.13E-03,Below Reporting Threshold,0,4,0,177,128
6/6/2026,Grey,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,4.70E+00,489,Below Reporting Threshold,4,Below Reporting Threshold,8.18E-03,Below Reporting Threshold,0,7,0,104,129
6/6/2026,Shipt,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.74E+00,467,Below Reporting Threshold,5,Below Reporting Threshold,1.07E-02,Below Reporting Threshold,0,6,0,125,130
6/6/2026,"Alexion Pharmaceuticals, Inc.",Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.72E+00,465,Below Reporting Threshold,3,Below Reporting Threshold,6.45E-03,Below Reporting Threshold,0,3,0,125,131
6/6/2026,Subway,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.67E+00,464,Below Reporting Threshold,4,Below Reporting Threshold,8.62E-03,Below Reporting Threshold,0,9,0,174,132
6/6/2026,RRD,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.18E+00,461,Below Reporting Threshold,4,Below Reporting Threshold,8.68E-03,Below Reporting Threshold,0,5,0,145,133
6/6/2026,AutoZone,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.17E+00,456,Below Reporting Threshold,3,Below Reporting Threshold,6.58E-03,Below Reporting Threshold,0,4,0,210,134
6/6/2026,Marriott Vacations Worldwide,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.43E+00,446,Below Reporting Threshold,3,Below Reporting Threshold,6.73E-03,Below Reporting Threshold,0,6,0,130,135
6/6/2026,University of Houston,Yes,Yes,Reached,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,3.90E+00,445,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,0,3,0,114,136
6/6/2026,Memorial Sloan Kettering Cancer Center,Yes,Yes,Reached,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,3.41E+00,443,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,0,3,0,130,137
6/6/2026,Dow Jones,Yes,Yes,Reached,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,4.11E+00,440,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,0,2,0,107,138
6/6/2026,Western Michigan University,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,4.52E+00,438,Below Reporting Threshold,5,Below Reporting Threshold,1.14E-02,Below Reporting Threshold,0,6,0,97,139
6/6/2026,Syneos Health,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.19E+00,437,Below Reporting Threshold,3,Below Reporting Threshold,6.86E-03,Below Reporting Threshold,0,6,0,137,140
6/6/2026,Northern Trust,Yes,Yes,Reached,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,3.25E+00,435,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,0,3,0,134,141
6/6/2026,Publix Super Markets,Yes,Yes,Reached,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,2.76E+00,434,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,0,3,0,157,142
6/6/2026,The Hartford,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.67E+00,430,Below Reporting Threshold,3,Below Reporting Threshold,6.98E-03,Below Reporting Threshold,0,5,0,161,143
6/6/2026,Bentley University,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,4.06E+00,430,Below Reporting Threshold,5,Below Reporting Threshold,1.16E-02,Below Reporting Threshold,0,10,0,106,143
6/6/2026,Pluralsight,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,4.28E+00,428,Below Reporting Threshold,3,Below Reporting Threshold,7.01E-03,Below Reporting Threshold,0,3,0,100,145
6/6/2026,Dexcom,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.77E+00,427,Below Reporting Threshold,3,Below Reporting Threshold,7.03E-03,Below Reporting Threshold,0,7,0,154,146
6/6/2026,Michaels Stores,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.48E+00,424,Below Reporting Threshold,4,Below Reporting Threshold,9.43E-03,Below Reporting Threshold,0,4,0,171,147
6/6/2026,"Vizient, Inc",Yes,Yes,Reached,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,3.99E+00,423,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,0,1,0,106,148
6/6/2026,Constellation Brands,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.32E+00,415,Below Reporting Threshold,6,Below Reporting Threshold,1.45E-02,Below Reporting Threshold,0,6,0,125,149
